GarageNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
1123,37,30,1,14.11.202015:55:40,55.764567,49.167683,2,236
1123,37,30,1,14.11.202015:56:40,55.763917,49.163833,44,52
1123,37,30,1,14.11.202015:56:40,55.763917,49.163833,44,52
1123,37,30,1,14.11.202015:56:40,55.763917,49.163833,44,52
1123,37,30,1,14.11.202015:57:40,55.769533,49.1709,11,232
1123,37,30,1,14.11.202015:57:40,55.769533,49.1709,11,232
1123,37,30,1,14.11.202015:57:40,55.769533,49.1709,11,232
1123,37,30,1,14.11.202015:57:40,55.769533,49.1709,11,232
1123,37,30,1,14.11.202015:58:40,55.763333,49.161167,65,252
1123,37,30,1,14.11.202015:58:40,55.763333,49.161167,65,252
1123,37,30,1,14.11.202015:59:40,55.764033,49.150283,15,9
1123,37,30,1,14.11.202015:59:40,55.764033,49.150283,15,9
1123,37,30,1,14.11.202015:59:40,55.764033,49.150283,15,9
1123,37,30,1,14.11.202016:00:40,55.766867,49.14755,43,340
1123,37,30,1,14.11.202016:00:40,55.766867,49.14755,43,340
1123,37,30,1,14.11.202016:00:40,55.766867,49.14755,43,340
1123,37,30,1,14.11.202016:01:40,55.768617,49.14585,0,45
1123,37,30,1,14.11.202016:01:40,55.768617,49.14585,0,45
1123,37,30,1,14.11.202016:01:40,55.768617,49.14585,0,45
1123,37,30,1,14.11.202016:02:40,55.76955,49.14495,31,327
1123,37,30,1,14.11.202016:02:40,55.76955,49.14495,31,327
